Name,Team_Abr,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,Fld,BsR,WAR,ADP
Mike Trout,LAA,134,593,473,134,25,4,39,100,109,104,131,11,12,3,.283,.420,.600,1.020,.413,-1.7,0.7,6.7,5.8
Alex Bregman,HOU,150,649,546,153,38,3,29,97,95,89,86,9,8,2,.280,.387,.520,.907,.380,0.2,0.3,6.0,44.6
Mookie Betts,LAD,142,654,569,163,36,3,32,117,98,75,100,4,24,4,.286,.370,.529,.899,.372,15.4,2.7,6.0,4.0
Ronald Acuna Jr.,ATL,150,672,570,161,30,2,43,134,115,91,171,10,33,7,.282,.390,.568,.958,.397,4.3,3.2,5.9,1.6
Juan Soto,WSN,151,640,528,161,34,4,37,122,141,105,107,3,16,3,.305,.420,.595,1.015,.412,-2.4,1.5,5.7,3.4
Jose Ramirez,CLE,144,619,537,154,42,4,32,98,103,72,91,5,26,7,.287,.373,.559,.932,.384,2.0,1.8,5.7,10.9
Cody Bellinger,LAD,156,648,561,153,29,5,38,99,123,82,137,2,17,3,.273,.366,.545,.911,.371,2.2,1.8,5.4,16.6
Francisco Lindor,NYM,154,700,628,168,38,2,32,101,88,60,106,6,20,6,.268,.335,.487,.823,.341,7.7,1.1,5.1,18.0
Matt Chapman,OAK,141,592,528,130,33,5,34,88,91,54,167,7,2,2,.246,.323,.521,.843,.349,12.6,-0.7,5.0,116.8
Anthony Rendon,LAA,137,598,508,143,33,2,26,81,94,74,89,10,3,1,.281,.380,.508,.887,.370,3.2,-0.2,5.0,40.1
Trea Turner,WSN,144,650,593,176,34,8,26,108,84,51,111,4,38,8,.297,.355,.513,.868,.363,-2.5,3.8,4.7,7.1
Corey Seager,LAD,135,569,512,147,33,2,27,87,109,49,107,4,4,0,.287,.351,.518,.869,.361,2.6,0.5,4.6,36.4
Fernando Tatis Jr.,SDP,119,524,461,131,22,6,28,89,94,52,136,8,24,8,.284,.365,.540,.905,.375,-2.1,1.0,4.4,2.2
Gleyber Torres,NYY,148,594,521,148,25,1,33,85,106,63,123,5,8,2,.284,.364,.526,.890,.370,-7.1,0.4,4.4,66.4
Marcus Semien,TOR,147,660,592,157,31,4,28,95,96,64,116,1,11,4,.265,.336,.473,.809,.340,1.9,0.1,4.2,127.7
Aaron Judge,NYY,115,499,420,107,17,1,33,82,88,72,155,4,3,3,.255,.367,.536,.902,.374,9.5,-1.0,4.2,53.7
Xander Bogaerts,BOS,149,639,572,165,38,2,27,95,94,60,116,3,13,1,.288,.357,.503,.860,.359,-5.3,1.8,4.1,33.8
Ozzie Albies,ATL,152,659,609,174,38,6,28,105,91,43,115,4,18,3,.286,.335,.506,.841,.349,5.2,2.0,4.1,34.0
DJ LeMahieu,NYY,134,598,546,167,26,3,18,92,74,43,81,3,6,3,.306,.357,.463,.820,.347,6.7,-0.5,4.1,27.6
Bo Bichette,TOR,130,545,504,144,33,6,23,77,95,37,94,1,27,8,.286,.334,.512,.846,.350,1.4,1.7,4.0,24.5
J.T. Realmuto,PHI,139,571,518,141,29,3,26,84,98,40,125,9,8,2,.272,.333,.490,.823,.343,3.9,0.4,4.0,44.6
Trevor Story,COL,153,650,587,160,35,6,33,96,86,57,176,4,27,7,.273,.340,.521,.861,.357,5.7,2.0,4.0,12.3
Carlos Correa,HOU,122,508,446,124,23,1,24,67,91,53,113,3,2,0,.278,.354,.496,.850,.353,1.2,0.1,4.0,121.1
George Springer,TOR,129,577,507,141,24,2,29,97,96,58,110,8,5,5,.278,.359,.505,.864,.362,-0.2,-1.5,4.0,48.1
Freddie Freeman,ATL,143,625,533,158,39,2,28,98,111,82,112,7,6,3,.296,.395,.535,.930,.384,2.6,-0.5,4.0,12.8
Yasmani Grandal,CHW,131,522,437,99,19,1,23,62,74,78,142,3,2,1,.227,.345,.432,.777,.333,7.0,-0.3,3.9,130.4
Christian Yelich,MIL,140,618,524,143,29,3,32,97,88,85,150,6,18,4,.273,.379,.523,.902,.374,0.3,1.5,3.9,10.8
Kyle Tucker,HOU,151,616,557,154,31,7,27,93,103,50,127,4,24,4,.276,.338,.503,.840,.348,4.7,2.8,3.8,31.9
Manny Machado,SDP,151,650,582,158,29,2,33,84,116,60,110,2,11,5,.271,.338,.498,.837,.345,3.0,-0.3,3.8,21.1
Bryce Harper,PHI,145,629,510,132,29,2,34,100,116,108,154,5,14,4,.259,.390,.524,.914,.376,-2.3,0.7,3.8,18.0
Jose Altuve,HOU,134,587,529,153,27,2,23,89,71,50,89,5,13,7,.289,.355,.478,.833,.352,-2.7,-0.8,3.6,96.2
Marcell Ozuna,ATL,139,598,537,154,27,2,34,82,126,58,131,1,5,1,.287,.356,.534,.891,.369,3.0,0.2,3.6,44.6
Nolan Arenado,STL,144,613,546,143,27,3,27,78,83,57,91,3,2,2,.262,.331,.471,.802,.330,9.9,-0.8,3.5,39.7
Matt Olson,OAK,144,594,514,122,22,1,39,81,109,71,174,7,2,0,.237,.337,.512,.848,.351,7.5,0.1,3.5,91.3
Ketel Marte,ARI,153,635,580,167,35,9,19,79,69,45,86,6,7,2,.288,.343,.478,.821,.344,2.8,0.2,3.3,85.0
